::1 - - [14/Mar/2024:18:15:39 +0000] "OPTIONS /api/v1/dashboard HTTP/1.1" 200 0 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:15:39 +0000] "GET /avatar.png HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:15:39 +0000] "GET /api/v1/dashboard HTTP/1.1" 200 600 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:15:39 +0000] "OPTIONS /api/v1/all-rooms-list?keyword=&limit=10&page=1&sort=asce HTTP/1.1" 200 0 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:15:39 +0000] "OPTIONS /api/v1/all-rooms-list?keyword=&limit=10&page=1&sort=asce HTTP/1.1" 200 0 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:15:39 +0000] "GET /api/v1/all-rooms-list?keyword=&limit=10&page=1&sort=asce HTTP/1.1" 200 1360 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:15:39 +0000] "GET /api/v1/all-rooms-list?keyword=&limit=10&page=1&sort=asce HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:15:39 +0000] "GET /api/v1/dashboard HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:15:39 +0000] "GET /uploads/rooms/room-3-1706298968019.jpeg HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:15:39 +0000] "GET /uploads/rooms/room-10-1706299171288.jpeg HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:15:39 +0000] "GET /uploads/rooms/room-5-1706299171290.jpeg HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:15:43 +0000] "OPTIONS /api/v1/get-room-by-id-or-slug-name/65b40e5869da69dcd7a8e188 HTTP/1.1" 200 0 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:15:43 +0000] "OPTIONS /api/v1/get-room-by-id-or-slug-name/65b40e5869da69dcd7a8e188 HTTP/1.1" 200 0 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:15:43 +0000] "GET /api/v1/get-room-by-id-or-slug-name/65b40e5869da69dcd7a8e188 HTTP/1.1" 500 142 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:15:43 +0000] "GET /api/v1/get-room-by-id-or-slug-name/65b40e5869da69dcd7a8e188 HTTP/1.1" 500 142 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
::1 - - [14/Mar/2024:18:15:48 +0000] "GET /avatar.png HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36"
